[info] welcome to sbt 1.12.11 (Eclipse Adoptium Java 21.0.11)
[info] loading global plugins from /Users/mariocallisto/.sbt/1.0/plugins
[info] loading settings for project uniform-tilings-build from plugins.sbt...
[info] loading project definition from /Users/mariocallisto/IdeaProjects/scala-tessella/uniform-tilings/project
[info] loading settings for project root from build.sbt...
[info] set current project to uniform-tilings (in build file:/Users/mariocallisto/IdeaProjects/scala-tessella/uniform-tilings/)
[info] compiling 1 Scala source to /Users/mariocallisto/IdeaProjects/scala-tessella/uniform-tilings/core/target/scala-3.8.4/classes ...
[info] done compiling
  [relaxed maxSize=24] 4067s  dsets=1549907 (381/s)  distinct=1363
  [relaxed maxSize=24] 4082s  dsets=1550631 (379/s)  distinct=1363
  [relaxed maxSize=24] 4097s  dsets=1551551 (378/s)  distinct=1363
  [relaxed maxSize=24] 4112s  dsets=1553098 (377/s)  distinct=1363
  [relaxed maxSize=24] 4127s  dsets=1553559 (376/s)  distinct=1363
  [relaxed maxSize=24] 4142s  dsets=1554002 (375/s)  distinct=1363
  [relaxed maxSize=24] 4157s  dsets=1554238 (373/s)  distinct=1363
  [relaxed maxSize=24] 4172s  dsets=1554800 (372/s)  distinct=1363
  [relaxed maxSize=24] 4187s  dsets=1555627 (371/s)  distinct=1363
  [relaxed maxSize=24] 4202s  dsets=1555898 (370/s)  distinct=1363
  [relaxed maxSize=24] 4217s  dsets=1557062 (369/s)  distinct=1363
  [relaxed maxSize=24] 4232s  dsets=1557715 (368/s)  distinct=1363
  [relaxed maxSize=24] 4247s  dsets=1559754 (367/s)  distinct=1363
  [relaxed maxSize=24] 4262s  dsets=1560019 (366/s)  distinct=1363
  [relaxed maxSize=24] 4277s  dsets=1560676 (364/s)  distinct=1363
  [relaxed maxSize=24] 4292s  dsets=1560735 (363/s)  distinct=1363
  [relaxed maxSize=24] 4307s  dsets=1560816 (362/s)  distinct=1363
  [relaxed maxSize=24] 4322s  dsets=1560926 (361/s)  distinct=1363
  [relaxed maxSize=24] 4337s  dsets=1561214 (360/s)  distinct=1363
  [relaxed maxSize=24] 4352s  dsets=1561605 (358/s)  distinct=1363
  [relaxed maxSize=24] 4367s  dsets=1561742 (357/s)  distinct=1363
  [relaxed maxSize=24] 4382s  dsets=1562272 (356/s)  distinct=1363
  [relaxed maxSize=24] 4397s  dsets=1562383 (355/s)  distinct=1363
RELAXED k <= 2 CATALOGUE: 1363 symbols
RUNG-2 SURVIVORS AFTER COMBINATORIAL + PINNED-LINEAR: 1
z=3.4.4.6	chambers=12	sigs=List(3.4.6.4, 3.4.4.6)	regularOrbits=1,2,3,4	key=1,1,2,6|4;2,3,1,4|4;4,2,5,4|4;3,6,7,4|4;7,5,3,3|4;6,4,8,4|4;5,9,4,3|4;8,10,6,4|4;9,7,11,3|4;10,8,12,4|4;11,12,9,6|4;12,11,10,6|4;
[info] UClassK2Probe:
[info] - should settle rung k = 2 over all ≤ 24-chamber relaxed symbols (enable with -Duclass.k2)
[info] Run completed in 2 hours, 4 minutes, 47 seconds.
[info] Total number of tests run: 1
[info] Suites: completed 1, aborted 0
[info] Tests: succeeded 1, failed 0, canceled 0, ignored 0, pending 0
[info] All tests passed.
[success] Total time: 7504 s (02:05:04.0), completed 12 lug 2026, 02:56:23
